Start Time = Sat Jun 18 09:39:02 2022
[6/501][350/1174]	Loss_D: 0.4733	Loss_G: 2.2598	D(x): 0.7285	D(G(z)): 0.0893 / 0.1113
[6/501][400/1174]	Loss_D: 0.3508	Loss_G: 4.1648	D(x): 0.8423	D(G(z)): 0.0236 / 0.0175
[6/501][450/1174]	Loss_D: 0.2173	Loss_G: 5.5281	D(x): 0.9571	D(G(z)): 0.0042 / 0.0033
[6/501][500/1174]	Loss_D: 0.3306	Loss_G: 4.5320	D(x): 0.7909	D(G(z)): 0.0094 / 0.0096
[6/501][550/1174]	Loss_D: 0.4903	Loss_G: 4.2966	D(x): 0.9090	D(G(z)): 0.2278 / 0.0129
[6/501][600/1174]	Loss_D: 0.2294	Loss_G: 4.4148	D(x): 0.9436	D(G(z)): 0.0140 / 0.0120
[6/501][650/1174]	Loss_D: 0.8469	Loss_G: 4.8183	D(x): 0.9907	D(G(z)): 0.3966 / 0.0087
[6/501][700/1174]	Loss_D: 0.7731	Loss_G: 4.6191	D(x): 0.9124	D(G(z)): 0.4200 / 0.0081
[6/501][750/1174]	Loss_D: 0.4369	Loss_G: 2.3274	D(x): 0.7023	D(G(z)): 0.0284 / 0.0984
[6/501][800/1174]	Loss_D: 1.7451	Loss_G: 0.2173	D(x): 0.1825	D(G(z)): 0.0098 / 0.9536
[6/501][850/1174]	Loss_D: 0.5534	Loss_G: 1.7486	D(x): 0.9134	D(G(z)): 0.2791 / 0.1738
[6/501][900/1174]	Loss_D: 0.9020	Loss_G: 4.7844	D(x): 0.9281	D(G(z)): 0.4680 / 0.0076
[6/501][950/1174]	Loss_D: 0.2158	Loss_G: 6.6060	D(x): 0.9331	D(G(z)): 0.0012 / 0.0011
[6/501][1000/1174]	Loss_D: 1.2772	Loss_G: 4.1114	D(x): 0.9724	D(G(z)): 0.6357 / 0.0140
[6/501][1050/1174]	Loss_D: 0.3547	Loss_G: 2.7253	D(x): 0.8270	D(G(z)): 0.0565 / 0.0690
[6/501][1100/1174]	Loss_D: 0.2243	Loss_G: 4.5310	D(x): 0.9400	D(G(z)): 0.0131 / 0.0090
[6/501][1150/1174]	Loss_D: 0.2201	Loss_G: 6.3602	D(x): 0.9166	D(G(z)): 0.0018 / 0.0015
